18.0396 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1280, 1024]. Using actual size
238.1621 	DATA 	Keypress: o
238.1707 	Level injecting via pump at address 1 	25
238.1709 	Level injecting via pump at address 1 	25
238.1711 	Level post injecting via pump at address 1 	25
244.1643 	DATA 	Keypress: o
244.1655 	DATA 	Keypress: o
244.1670 	DATA 	Keypress: o
244.1860 	Level start wait 	25
246.1644 	DATA 	Keypress: o
246.1851 	Level RINSE 	25
249.1652 	DATA 	Keypress: o
249.1842 	Level Start Jitter 	25
256.1593 	Level finished 	25
256.1613 	DATA 	Keypress: o
256.1627 	DATA 	Keypress: o
256.1641 	DATA 	Keypress: o
256.1653 	DATA 	Keypress: o
256.1660 	Level onset of trial =187.000000 	25
256.3653 	Level image=UCO.jpg 	25
257.1716 	Level injecting via pump at address 2 	25
257.1718 	Level injecting via pump at address 2 	25
257.1720 	Level post injecting via pump at address 2 	25
263.1646 	DATA 	Keypress: o
263.1659 	DATA 	Keypress: o
263.1672 	DATA 	Keypress: o
263.1792 	Level start wait 	25
265.1654 	DATA 	Keypress: o
265.1790 	Level RINSE 	25
268.1649 	DATA 	Keypress: o
268.1659 	DATA 	Keypress: o
268.1782 	Level Start Jitter 	25
275.1593 	Level finished 	25
275.1609 	DATA 	Keypress: o
275.1622 	DATA 	Keypress: o
275.1634 	DATA 	Keypress: o
275.1642 	Level onset of trial =206.000000 	25
275.3727 	Level image=water.jpg 	25
276.1622 	DATA 	Keypress: o
276.1748 	Level injecting via pump at address 0 	25
276.1750 	Level injecting via pump at address 0 	25
276.1752 	Level post injecting via pump at address 0 	25
282.1650 	DATA 	Keypress: o
282.1663 	DATA 	Keypress: o
282.1675 	DATA 	Keypress: o
282.1894 	Level start wait 	25
284.1649 	DATA 	Keypress: o
284.1728 	Level NO RINSE 	25
295.1593 	Level finished 	25
295.1609 	DATA 	Keypress: o
295.1622 	DATA 	Keypress: o
295.1633 	DATA 	Keypress: o
295.1645 	DATA 	Keypress: o
295.1659 	DATA 	Keypress: o
295.1669 	Level onset of trial =226.000000 	25
295.3687 	Level image=water.jpg 	25
296.1621 	DATA 	Keypress: o
296.1848 	Level injecting via pump at address 0 	25
296.1850 	Level injecting via pump at address 0 	25
296.1851 	Level post injecting via pump at address 0 	25
302.1650 	DATA 	Keypress: o
302.1664 	DATA 	Keypress: o
302.1674 	DATA 	Keypress: o
302.1749 	Level start wait 	25
304.1641 	DATA 	Keypress: o
304.1752 	Level NO RINSE 	25
316.1593 	Level finished 	25
316.1619 	DATA 	Keypress: o
316.1631 	DATA 	Keypress: o
316.1643 	DATA 	Keypress: o
316.1655 	DATA 	Keypress: o
316.1669 	DATA 	Keypress: o
316.1687 	DATA 	Keypress: o
316.1704 	Level onset of trial =247.000000 	25
316.3761 	Level image=CO.jpg 	25
317.1787 	Level injecting via pump at address 1 	25
317.1788 	Level injecting via pump at address 1 	25
317.1790 	Level post injecting via pump at address 1 	25
323.1644 	DATA 	Keypress: o
323.1656 	DATA 	Keypress: o
323.1668 	DATA 	Keypress: o
323.1934 	Level start wait 	25
325.1648 	DATA 	Keypress: o
325.1760 	Level RINSE 	25
328.1650 	DATA 	Keypress: o
328.1662 	DATA 	Keypress: o
328.1912 	Level Start Jitter 	25
332.1593 	Level finished 	25
332.1608 	DATA 	Keypress: o
332.1621 	DATA 	Keypress: o
332.1628 	Level onset of trial =263.000000 	25
332.4069 	Level image=UCO.jpg 	25
333.1899 	Level injecting via pump at address 2 	25
333.1900 	Level injecting via pump at address 2 	25
333.1902 	Level post injecting via pump at address 2 	25
339.1645 	DATA 	Keypress: o
339.1657 	DATA 	Keypress: o
339.1668 	DATA 	Keypress: o
339.1885 	Level start wait 	25
341.1655 	DATA 	Keypress: o
341.1874 	Level RINSE 	25
344.1644 	DATA 	Keypress: o
344.1657 	DATA 	Keypress: o
344.1770 	Level Start Jitter 	25
355.1593 	Level finished 	25
355.1609 	DATA 	Keypress: o
355.1619 	DATA 	Keypress: o
355.1630 	DATA 	Keypress: o
355.1639 	DATA 	Keypress: o
355.1649 	DATA 	Keypress: o
355.1657 	Level onset of trial =286.000000 	25
355.3665 	Level image=CO.jpg 	25
356.1622 	DATA 	Keypress: o
356.1779 	Level injecting via pump at address 1 	25
356.1781 	Level injecting via pump at address 1 	25
356.1783 	Level post injecting via pump at address 1 	25
362.1658 	DATA 	Keypress: o
362.1670 	DATA 	Keypress: o
362.1682 	DATA 	Keypress: o
362.1965 	Level start wait 	25
364.1645 	DATA 	Keypress: o
364.1797 	Level RINSE 	25
367.1639 	DATA 	Keypress: o
367.1792 	Level Start Jitter 	25
371.1593 	Level finished 	25
371.1608 	DATA 	Keypress: o
371.1618 	DATA 	Keypress: o
371.1624 	Level onset of trial =302.000000 	25
371.3938 	Level image=UCO.jpg 	25
372.1619 	DATA 	Keypress: o
372.1766 	Level injecting via pump at address 2 	25
372.1769 	Level injecting via pump at address 2 	25
372.1770 	Level post injecting via pump at address 2 	25
378.1644 	DATA 	Keypress: o
378.1655 	DATA 	Keypress: o
378.1665 	DATA 	Keypress: o
378.1915 	Level start wait 	25
380.1649 	DATA 	Keypress: o
380.1907 	Level RINSE 	25
383.1650 	DATA 	Keypress: o
383.1728 	Level Start Jitter 	25
394.1593 	Level finished 	25
394.1610 	DATA 	Keypress: o
394.1622 	DATA 	Keypress: o
394.1633 	DATA 	Keypress: o
394.1645 	DATA 	Keypress: o
394.1658 	DATA 	Keypress: o
394.1670 	DATA 	Keypress: o
394.1682 	Level onset of trial =325.000000 	25
